name,ppg,rpg,apg,fg_pct,three_pt_pct,spg,bpg,tov,freethrow_pct
Shake Milton,8.4,2.5,3.2,.479,.378,0.3,0.2,1.2,.853
Dorian Finney-Smith,9.1,4.7,1.5,.416,.355,1.0,0.5,0.9,.750
Dorian Finney-Smith,7.2,4.9,1.6,.351,.306,0.7,0.6,1.0,.789
Terrence Ross,8.0,2.0,1.3,.431,.381,0.6,0.2,0.9,.750
Terrence Ross,9.0,3.3,2.0,.428,.347,0.5,0.1,0.3,.857
Gary Harris,8.3,2.0,1.2,.450,.431,0.9,0.3,0.6,.900
Kevin Love,8.5,6.8,1.9,.389,.354,0.2,0.2,1.1,.889
Kevin Love,7.7,5.7,1.9,.388,.297,0.4,0.2,1.1,.857
Damion Lee,8.2,3.0,1.3,.442,.445,0.4,0.1,1.1,.904
Georges Niang,8.2,2.4,1.0,.442,.401,0.4,0.2,0.7,.867
Nick Richards,8.2,6.4,0.6,.629,1.000,0.2,1.1,0.9,.749
Aleksej Pokusevski,8.1,4.7,1.9,.434,.365,0.6,1.3,1.3,.629
Grant Williams,8.1,4.6,1.7,.454,.395,0.5,0.4,1.0,.770
Jevon Carter,8.0,2.5,2.4,.423,.421,0.8,0.4,1.0,.816
Kemba Walker,8.0,1.8,2.1,.421,.250,0.2,0.2,0.4,.810
Kenrich Williams,8.0,4.9,2.0,.517,.373,0.8,0.3,0.6,.436
Robert Williams,8.0,8.3,1.4,.747,.000,0.6,1.4,1.0,.610
Gabe York,8.0,2.0,1.7,.381,.333,0.7,0.0,0.0,1.000
Jarred Vanderbilt,8.3,7.9,2.7,.556,.333,1.0,0.3,1.3,.657
Jarred Vanderbilt,7.2,6.7,1.6,.529,.303,1.2,0.2,1.1,.784
Ochai Agbaji,7.9,2.1,1.1,.427,.355,0.3,0.3,0.7,.812
Chris Duarte,7.9,2.5,1.4,.369,.316,0.5,0.2,0.9,.847
Duane Washington Jr.,7.9,1.2,2.0,.367,.360,0.2,0.1,1.1,.667
Jeff Green,7.8,2.6,1.2,.488,.288,0.3,0.3,0.8,.744
Tre Mann,7.7,2.3,1.8,.393,.315,0.6,0.2,0.9,.764
Pat Connaughton,7.6,4.6,1.3,.392,.339,0.6,0.2,0.5,.659
Joe Harris,7.6,2.2,1.4,.457,.426,0.5,0.2,0.6,.643
Trey Lyles,7.6,4.1,0.9,.458,.363,0.4,0.4,0.9,.815
T.J. Warren,9.5,2.8,1.1,.510,.333,0.6,0.3,0.7,.818
T.J. Warren,4.2,3.1,0.7,.429,.316,0.4,0.3,0.2,.500
Devonte' Graham,5.3,1.4,2.2,.368,.347,0.6,0.2,0.5,.746
Devonte' Graham,13.0,2.5,4.0,.380,.358,0.8,0.3,1.3,.750
Torrey Craig,7.4,5.4,1.5,.456,.395,0.6,0.8,0.9,.711
Mitchell Robinson,7.4,9.4,0.9,.671,,0.9,1.8,0.7,.484
Obi Toppin,7.4,2.8,1.0,.446,.344,0.3,0.2,0.6,.809
Trendon Watford,7.4,3.8,2.1,.560,.391,0.5,0.2,1.1,.720
Delon Wright,7.4,3.6,3.9,.474,.345,1.8,0.3,0.9,.867
Jay Huff,7.3,3.0,1.4,.600,.500,0.4,0.6,0.7,.938
Josh Okogie,7.3,3.5,1.5,.391,.335,0.8,0.5,0.9,.724
Reggie Bullock,7.2,3.6,1.4,.409,.380,0.7,0.2,0.5,.703
Isaiah Jackson,7.2,4.5,0.8,.563,.143,0.5,1.5,0.8,.651
Kendrick Nunn,6.7,1.4,0.9,.406,.325,0.3,0.1,0.8,.810
Kendrick Nunn,7.5,1.7,1.8,.447,.392,0.5,0.1,1.1,.900
Troy Brown Jr.,7.1,4.1,1.3,.430,.381,0.8,0.2,0.6,.872
Edmond Sumner,7.1,1.5,1.3,.461,.356,0.6,0.2,0.9,.917
Lindell Wigginton,7.1,1.0,2.0,.486,.333,0.0,0.3,1.7,.889
Eugene Omoruyi,4.9,2.3,0.5,.468,.258,0.6,0.0,0.7,.607
Eugene Omoruyi,9.7,3.5,1.0,.425,.293,0.8,0.2,1.1,.723
Chance Comanche,7.0,3.0,0.0,.600,,0.0,1.0,0.0,.250
Kevon Looney,7.0,9.3,2.5,.630,.000,0.6,0.6,0.5,.606
Joshua Primo,7.0,3.3,4.5,.346,.250,0.3,0.5,2.8,.778
Daniel Theis,7.0,3.1,1.3,.477,.182,0.3,0.9,0.4,.417
Xavier Tillman Sr.,7.0,5.0,1.6,.614,.267,1.0,0.5,0.7,.551
Svi Mykhailiuk,1.6,0.5,0.1,.500,.600,0.1,0.0,0.2,.600
Svi Mykhailiuk,10.6,2.4,2.7,.441,.404,0.7,0.2,1.2,.676
Jae Crowder,6.9,3.8,1.5,.479,.436,0.7,0.3,0.4,.833
Willy Hernangómez,6.9,4.7,0.9,.527,.273,0.4,0.3,1.0,.779
Joe Ingles,6.9,2.8,3.3,.435,.409,0.7,0.1,1.2,.857
Ty Jerome,6.9,1.7,3.0,.488,.389,0.5,0.1,0.7,.927
Cory Joseph,6.9,1.7,3.5,.427,.389,0.5,0.1,0.9,.792
Romeo Langford,6.9,2.7,1.2,.467,.262,0.6,0.3,0.7,.696
Ben Simmons,6.9,6.3,6.1,.566,.000,1.3,0.6,2.3,.439
Will Barton,7.7,2.8,2.4,.386,.377,0.4,0.3,1.1,.778
Will Barton,4.5,1.6,1.1,.354,.333,0.7,0.2,0.2,1.000
Larry Nance Jr.,6.8,5.4,1.8,.610,.333,0.9,0.6,0.6,.696
Jeremiah Robinson-Earl,6.8,4.2,1.0,.444,.333,0.6,0.3,0.4,.833
Aaron Wiggins,6.8,3.0,1.1,.512,.393,0.6,0.2,0.8,.831
Justise Winslow,6.8,5.0,3.4,.409,.311,1.0,0.4,1.5,.714
Terence Davis,6.7,2.2,1.0,.423,.366,0.7,0.2,0.8,.791
